target,policy,chunk_size,num_threads,range,run1,run2,run3
,t,1,4,1-1000,,,
,t,1,8,1-1000,,,
,t,1,16,1-1000,,,
,t,1,32,1-1000,,,
,t,2,4,1-1000,,,
,t,2,8,1-1000,,,
,t,2,16,1-1000,,,
,t,2,32,1-1000,,,
,t,8,4,1-1000,,,
,t,8,8,1-1000,,,
,t,8,16,1-1000,,,
,t,8,32,1-1000,,,
,t,16,4,1-1000,,,
,t,16,8,1-1000,,,
,t,16,16,1-1000,,,
,t,16,32,1-1000,,,
,t,32,4,1-1000,,,
,t,32,8,1-1000,,,
,t,32,16,1-1000,,,
,t,32,32,1-1000,,,
,t,128,4,1-1000,,,
,t,128,8,1-1000,,,
,t,128,16,1-1000,,,
,t,128,32,1-1000,,,
,t,500,4,1-1000,,,
,t,500,8,1-1000,,,
,t,500,16,1-1000,,,
,t,500,32,1-1000,,,
,s,1,4,1-1000,,,
,s,1,8,1-1000,,,
,s,1,16,1-1000,,,
,s,1,32,1-1000,,,
,s,2,4,1-1000,,,
,s,2,8,1-1000,,,
,s,2,16,1-1000,,,
,s,2,32,1-1000,,,
,s,8,4,1-1000,,,
,s,8,8,1-1000,,,
,s,8,16,1-1000,,,
,s,8,32,1-1000,,,
,s,16,4,1-1000,,,
,s,16,8,1-1000,,,
,s,16,16,1-1000,,,
,s,16,32,1-1000,,,
,s,32,4,1-1000,,,
,s,32,8,1-1000,,,
,s,32,16,1-1000,,,
,s,32,32,1-1000,,,
,s,128,4,1-1000,,,
,s,128,8,1-1000,,,
,s,128,16,1-1000,,,
,s,128,32,1-1000,,,
,s,500,4,1-1000,,,
,s,500,8,1-1000,,,
,s,500,16,1-1000,,,
,s,500,32,1-1000,,,
,d,1,4,1-1000,,,
,d,1,8,1-1000,,,
,d,1,16,1-1000,,,
,d,1,32,1-1000,,,
,d,2,4,1-1000,,,
,d,2,8,1-1000,,,
,d,2,16,1-1000,,,
,d,2,32,1-1000,,,
,d,8,4,1-1000,,,
,d,8,8,1-1000,,,
,d,8,16,1-1000,,,
,d,8,32,1-1000,,,
,d,16,4,1-1000,,,
,d,16,8,1-1000,,,
,d,16,16,1-1000,,,
,d,16,32,1-1000,,,
,d,32,4,1-1000,,,
,d,32,8,1-1000,,,
,d,32,16,1-1000,,,
,d,32,32,1-1000,,,
,d,128,4,1-1000,,,
,d,128,8,1-1000,,,
,d,128,16,1-1000,,,
,d,128,32,1-1000,,,
,d,500,4,1-1000,,,
,d,500,8,1-1000,,,
,d,500,16,1-1000,,,
,d,500,32,1-1000,,,
